"Status","Name","Duration in ms","Description"
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_unproblem_save","51","
        机器人未知问题保存
        "
"failed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_cite_faq[直接引用-{""data"":{""question"":""zl-test分类测试问题1"",""categoryId"":""904"",""similarQuestionforms"":[{""question"":""""}],""answerForms"":","65","
        预置问答问答对配置信息--引用
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_want_toask_query","38","
        机器人猜你想问查询
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_check_question","44","
        预置问答问答对配置信息--验证标准问题
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_edit","45","
        编辑robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_un_problem_query","68","
        机器人未知问题回复查询
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_save_category","53","
        常规问答问答对分类信息--保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_advance_settings_save","40","
        机器人高级设置保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_artificial_settings_query","45","
        机器人转人工设置查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guide_save[正常保存-开启引导语(问候语非空）-{""robotId"":""877"",""guideResponseEnable"":""true"",""guideWordList"":","59","
        机器人引导语保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_greeting_query","48","
        机器人欢迎语查询
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_query_template_query_page[正常查询-查询第二页-{""templateId"": 5,""curPage"":2,""pageSize"": 10,""categoryId"":0,""orderName"":""modifyTime"",""orderBy"":""desc""}-es--template_faq--{""query"":{""bool"":{""must"":[{""match"":{""categoryId"":0}},{""match"":{""templateId"":5}}]}},""size"":10,""from"":10,""sort"":","266","
        预置回答问答对配置信息--根据分类和模板Id查询问题分页数据
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_advance_settings_save","50","
        机器人高级设置保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guest_settings_save[错参-relatedQuestionEnable为空-{""robotId"":""877"",""hotQuestion"":{""robotId"":""877"",""hotQuestionEnable"":"""",""hotDataMode"":""MANUAL_ADD"",""guideWord"":"""",""hotQuestionList"":","48","
        机器人访客端保存
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_query_template_query_page[正常查询-全参-{""templateId"": 5,""curPage"": 1,""pageSize"": 10,""categoryId"":0,""orderName"":""modifyTime"",""orderBy"":""desc""}-es--template_faq--{""query"":{""bool"":{""must"":[{""match"":{""categoryId"":0}},{""match"":{""templateId"":5}}]}},""size"":10,""from"":0,""sort"":","281","
        预置回答问答对配置信息--根据分类和模板Id查询问题分页数据
        "
"failed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_save_faq[正常添加-仅添加问题及答案-{""data"":{""question"":""zl-test分类测试问题1"",""categoryId"":""904"",""similarQuestionforms"":[{""question"":""""}],""answerForms"":","69","
        预置问答问答对分类信息--保存
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_change_status","44","
        常规问答问答对配置信息--批量修改状态
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_save_category","52","
        常规问答问答对分类信息--保存
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_set_status","40","
        开启/停用robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_advance_settings_query","43","
        机器人高级设置查询
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_search_standard_questions[正常查询-查询keyName = question-{""templateId"": ""5"",""keyName"":""question"",""curPage"":1,""pageSize"":10}-esquestion--template_faq--{""query"":{""bool"":{""must"":[{""match"":{""categoryId"":0}},{""match"":{""templateId"":5}}]}},""size"":10,""from"":0,""sort"":[{""modifyTime"":{""order"":""desc""}}],""_source"":","281","
        预置回答问答对配置信息--根据分类和模板Id，模糊查询问题/答案分页数据
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guest_settings_save[错参-userId为空-{""robotId"":""358"",""hotQuestion"":{""robotId"":""358"",""hotQuestionEnable"":""false"",""hotDataMode"":""MANUAL_ADD"",""guideWord"":"""",""hotQuestionList"":","45","
        机器人访客端保存
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_query","57","
        查询robot
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_add","62","
        新增robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_unproblem_save[错参-responseContent为空-{""robotId"":""877"",""unknowResponseEnable"":""true"",""unknowResponseList"":","45","
        机器人未知问题保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_threshold_save","43","
        机器人阈值范围保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guest_settings_save[缺参-robotId为空-{""hotQuestion"":{""robotId"":""358"",""hotQuestionEnable"":""false"",""hotDataMode"":""MANUAL_ADD"",""guideWord"":"""",""hotQuestionList"":","44","
        机器人访客端保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_advance_settings_save","53","
        机器人高级设置保存
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_query_faq[正常查询-仅userId和robotId+categoryId+curPage+pageSize，搜索某个分类下的信息，分页-{""userId"": ""11"",""robotId"": ""877"",""categoryId"":""904"",""curPage"": ""1"",""pageSize"":""2""}-es-robot_faq-{""query"":{""bool"":{""must"":[{""match"":{""userId"":11}},{""match"":{""robotId"":877}},{""match"":{""parentId"":0}},{""match"":{""categoryId"":904}}]}},""sort"":","64","
        常规问答问答对配置信息--根据分类和机器人Id查询问题分页数据
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_login","41","
        登录robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guest_settings_save[缺参-hotQuestionEnable为空-{""robotId"":""877"",""hotQuestion"":{""robotId"":""877"",""hotDataMode"":""MANUAL_ADD"",""guideWord"":""热点问题"",""hotQuestionList"":","44","
        机器人访客端保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_warm_word_query","45","
        机器人暖场语查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_un_problem_query","58","
        机器人未知问题回复查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_greeting_save","52","
        机器人欢迎语保存
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_delete","46","
        删除robot
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_set_status","46","
        开启/停用robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_artificial_settings_save","95","
        机器人转人工设置保存
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_check_question","48","
        预置问答问答对配置信息--验证标准问题
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_query_faq_template_category","73","
        预置问答问答对分类信息--查询
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_login","57","
        登录robot
        "
"failed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_save_category","48","
        常规问答问答对分类信息--保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_related_related_question_query","46","
        机器人关联问题查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_advance_settings_query","43","
        机器人高级设置查询
        "
"passed","pytest.test_robot_template_category.TestRobotTemplateCategory#test_query_template_query_page","42","
        预置回答问答对配置信息--根据分类和模板Id查询问题分页数据
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_delete_category","47","
        常规问答问答对分类信息--删除
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_related_related_question_query","44","
        机器人关联问题查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_greeting_save","79","
        机器人欢迎语保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_threshold_save","40","
        机器人阈值范围保存
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_login","43","
        登录robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_want_toask_query","64","
        机器人猜你想问查询
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_search_page","39","
        常规问答问答对配置信息--模糊查询分页数据
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_want_toask_save","41","
        机器人猜你想问保存
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_save_category","43","
        常规问答问答对分类信息--保存
        "
"passed","pytest.test_robot_manage.TestRobotManage#test_robot_add","45","
        新增robot
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guide_save[错参-guideResponseEnable为空-{""robotId"":""877"",""guideResponseEnable"":"""",""guideWordList"":","47","
        机器人引导语保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_greeting_save","48","
        机器人欢迎语保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_un_problem_query","47","
        机器人未知问题回复查询
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_update_index_no","54","
        常规问答问答对分类信息--修改排序
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_query_category","43","
        常规问答问答对分类信息--查询
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_search_page[正常查询-搜索问题+无分类-{""userId"": ""11"", ""robotId"": ""877"",""keyName"": ""question"",""curPage"": ""1"",""pageSize"": ""10""}-es-robot_faq-{""query"":{""bool"":{""must"":[{""match"":{""userId"":11}},{""match"":{""robotId"":877}},{""match"":{""parentId"":0}}]}},""sort"":","80","
        常规问答问答对配置信息--模糊查询分页数据
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_query_faq[正常查询-仅userId和robotId+categoryId+curPage+pageSize+effectiveType，搜索某个分类下的信息，分页，永久有效-{""userId"": ""11"",""robotId"": ""877"",""categoryId"":""904"",""curPage"": ""1"",""pageSize"":""2"",""effectiveType"":0}-es-robot_faq-{""query"":{""bool"":{""must"":[{""match"":{""userId"":11}},{""match"":{""robotId"":877}},{""match"":{""parentId"":0}},{""match"":{""categoryId"":904}},{""match"":{""effectiveType"":0}}]}},""sort"":","75","
        常规问答问答对配置信息--根据分类和机器人Id查询问题分页数据
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_change_category","59","
        常规问答问答对配置信息--批量修改分类
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_related_question_save","77","
        机器人关联问题保存
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_guide_query","46","
        机器人引导语查询
        "
"passed","pytest.test_robot_config.TestRobotConfig#test_robot_want_toask_save","41","
        机器人猜你想问保存
        "
"passed","pytest.test_robot_faq_category.TestRobotFaqCategory#test_save_category","48","
        常规问答问答对分类信息--保存
        "
"passed","pytest.test_robot_faq.TestRobotFaq#test_search_page","40","
        常规问答问答对配置信息--模糊查询分页数据
        "
